Name,Warehouse,"Customer Account ID","Hide Customer's Orders From App","Use Customer's Shipping Accounts","Use 3PL's Shipping Accounts For Returns","Has appdot access"
"Snazzy Gourmet",Primary,93855,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39287'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39287'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39287'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39287'/>"
"Arm Lock Golf",Primary,93856,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39288'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39288'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39288'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39288'/>"
HeatXtreme,Primary,93857,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39289'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39289'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39289'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39289'/>"
"Fast Track Resources",Primary,93858,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39290'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39290'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39290'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39290'/>"
Elexiay,Primary,93860,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39292'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39292'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39292'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39292'/>"
"Bigshot Toyworks",Primary,93861,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39293'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39293'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39293'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39293'/>"
"Bodied by Bella Boutique",Primary,93863,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39295'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39295'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39295'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39295'/>"
"BKW Enterprises",Primary,94017,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='39485'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39485'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39485'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39485'/>"
"rSr Creations",Primary,94235,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39724'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39724'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39724'/>","<input type='checkbox' class='styled dt_checkbox' checked name='has_appdot_access[]' value='39724'/>"
"Brodeur Outdoor",Primary,94357,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39856'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39856'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39856'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39856'/>"
NSFB,Primary,94403,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='39906'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='39906'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='39906'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='39906'/>"
"Quantum Financial System",Primary,94581,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40012'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40012'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40012'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40012'/>"
"Tilco Balloons",Primary,94745,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40311'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40311'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40311'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40311'/>"
"Enlightened Today",Primary,94823,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40438'/>","<input type='checkbox' class='styled dt_checkbox' checked name='use_customers_shipping_account[]' value='40438'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40438'/>","<input type='checkbox' class='styled dt_checkbox' checked name='has_appdot_access[]' value='40438'/>"
"Milk x Whiskey",Primary,94824,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40439'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40439'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40439'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40439'/>"
"Heaven On Earth",Primary,94975,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='40603'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40603'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40603'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40603'/>"
Galuve,Primary,94976,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='40604'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40604'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40604'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40604'/>"
"Saalt Studio",Primary,95000,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40647'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40647'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40647'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40647'/>"
"Essentiva Brands",Primary,95019,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='40667'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40667'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40667'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40667'/>"
"Paula Callan",Primary,95220,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='40879'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40879'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40879'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40879'/>"
ForeverAmelia,Primary,95263,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='40928'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='40928'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='40928'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='40928'/>"
"Beautiful Mind",Primary,95356,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41034'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41034'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41034'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41034'/>"
"IVA 2025",Primary,95376,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41055'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41055'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41055'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41055'/>"
"Alpha Marketing",Primary,95393,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41075'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41075'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41075'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41075'/>"
HelloChakra,Primary,95398,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41081'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41081'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41081'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41081'/>"
"Premier Snow Academy",Primary,95445,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41126'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41126'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41126'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41126'/>"
Inatlantis,Primary,95447,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='41127'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41127'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41127'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41127'/>"
"Tesla MedBed X",Primary,95448,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41128'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41128'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41128'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41128'/>"
"TJ Biotech",Primary,95450,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41129'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41129'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41129'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41129'/>"
"BioTropic Labs",Primary,95452,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41130'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41130'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41130'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41130'/>"
OrthoNu,Primary,95456,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41133'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41133'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41133'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41133'/>"
Leverify,Primary,95457,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41134'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41134'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41134'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41134'/>"
"Perfect Stock",Primary,95462,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41139'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41139'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41139'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41139'/>"
Deerah,Primary,95463,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41140'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41140'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41140'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41140'/>"
"Pür Shilajit",Primary,95657,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='41361'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41361'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41361'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41361'/>"
Soluria,Primary,95712,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41439'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41439'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41439'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41439'/>"
"Save Rack",Primary,95840,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41592'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41592'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41592'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41592'/>"
"The Afropolitan Shop",Primary,95867,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41622'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41622'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41622'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41622'/>"
"Rebiirth Pty Ltd",Primary,95910,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41667'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41667'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41667'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41667'/>"
"Ireora Skincare",Primary,95965,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41725'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41725'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41725'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41725'/>"
"Western Route Trading",Primary,95966,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41726'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41726'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41726'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41726'/>"
"Suge Enterprises",Primary,95975,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41735'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41735'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41735'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41735'/>"
Sunaan,Primary,95977,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41737'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41737'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41737'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41737'/>"
Goldunya,Primary,95980,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41740'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41740'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41740'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41740'/>"
"Inovo Biotech",Primary,95981,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41741'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41741'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41741'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41741'/>"
"Pack Every Bite",Primary,95988,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41749'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41749'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41749'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41749'/>"
"Base Trading",Primary,96017,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41778'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41778'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41778'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41778'/>"
"kullaloo CA",Primary,96205,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='41991'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='41991'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='41991'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='41991'/>"
"Vynleaf Living",Primary,96236,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='42027'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42027'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42027'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42027'/>"
"Vita Bella",Primary,96264,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='42055'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42055'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42055'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42055'/>"
"Venti Group",Primary,96265,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='42056'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42056'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42056'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42056'/>"
"Front Porch Elegance",Primary,96322,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='42125'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42125'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42125'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42125'/>"
