Name,Warehouse,"Customer Account ID","Hide Customer's Orders From App","Use Customer's Shipping Accounts","Use 3PL's Shipping Accounts For Returns","Has appdot access"
"Vasquez Electrical Solutions",Primary,96362,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='42167'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42167'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42167'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42167'/>"
Allborn,Primary,96593,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='42400'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42400'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42400'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42400'/>"
"Big Blue Brands",Primary,96695,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='42579'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='42579'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='42579'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='42579'/>"
"Nui Organics",Primary,97116,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='43063'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43063'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43063'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43063'/>"
"Medicinal Supplies",Primary,97302,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='43250'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43250'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43250'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43250'/>"
"Flow Circus",Primary,97558,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='43541'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43541'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43541'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43541'/>"
Tribex,Primary,97559,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='43542'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43542'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43542'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43542'/>"
GLORI2026,Primary,97676,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='43743'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43743'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43743'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43743'/>"
"Tesla Vibe",Primary,97909,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='43990'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='43990'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='43990'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='43990'/>"
Shroud,Primary,98066,"<input type='checkbox' class='styled dt_checkbox' checked name='pause_shipping[]' value='44168'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='44168'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='44168'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='44168'/>"
Gorjan,Primary,98407,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='44532'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='44532'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='44532'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='44532'/>"
"IRAJ LLC",Primary,98540,"<input type='checkbox' class='styled dt_checkbox'  name='pause_shipping[]' value='44682'/>","<input type='checkbox' class='styled dt_checkbox'  name='use_customers_shipping_account[]' value='44682'/>","<input type='checkbox' class='styled dt_checkbox' checked name='returns_use_3pl_shipping_accounts[]' value='44682'/>","<input type='checkbox' class='styled dt_checkbox'  name='has_appdot_access[]' value='44682'/>"
